scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C68300,C68300,0.8435388144298824
SV1_C87500,C87500,0.947260279749016
SV1_C32172,C32172,0.9280169701482435
SV1_C10584,C10584,0.91617102192478
SV1_C07460,C07460,0.8243352774794591
SV1_C18960,C18960,0.8939082201966106
SV1_C50540,C50540,0.8628974223012665
SV1_C75264,C75264,0.9384997847751543
SV1_C55576,C55576,0.9181902805787849
SV1_C98836,C98836,0.8270561257167933
SV1_C15136,C15136,0.8582742463889882
SV1_C26240,C26240,0.9000970650271064
SV1_C100040,C100040,0.9514503844038683
SV1_C10264,C10264,0.8420895677537089
SV1_C88664,C88664,0.9049342805978838
SV1_C47292,C47292,0.9256867894055395
SV1_C10496,C10496,0.9934948878689142
SV1_C76968,C76968,0.8719142369538748
SV1_C46588,C46588,0.8586585955726199
SV1_C58936,C58936,0.8874279223865563
SV1_C47312,C47312,0.9290973874012421
SV1_C38056,C38056,0.8822656038909336
SV1_C57516,C57516,0.842843366583199
SV1_C56796,C56796,0.8911022583562325
SV1_C51980,C51980,0.8465344887365084
SV1_C10072,C10072,0.858585766565469
SV1_C47724,C47724,0.9317230398878986
SV1_C83776,C83776,0.9100616285696412
SV1_C00368,C00368,0.8935823311911855
SV1_C76144,C76144,0.926832856001806
SV1_C73128,C73128,0.9021945565893933
SV1_C55800,C55800,0.8693980666227771
SV1_C83048,C83048,0.9200199901179628
SV1_C04440,C04440,0.9047991484850825
SV1_C94216,C94216,0.9785348741037946
SV1_C03320,C03320,0.9029668888186729
SV1_C00924,C00924,0.9907782053691009
SV1_C61052,C61052,0.8200354629963978
SV1_C16800,C16800,0.877363576937002
SV1_C16816,C16816,0.8681496020267685
SV1_C21940,C21940,0.8782065863347064
SV1_C07296,C07296,0.8252759739265755
SV1_C86864,C86864,0.914736279802569
SV1_C86652,C86652,0.8853616906483477
SV1_C69440,C69440,0.8795970488670503
SV1_C44816,C44816,0.8943310815508789
SV1_C50180,C50180,0.9943865921870767
SV1_C32164,C32164,0.93929479457804
SV1_C74168,C74168,0.9987129116624908
SV1_C72248,C72248,0.9582138773828655
SV1_C11716,C11716,0.9030072315378761
SV1_C74908,C74908,0.9268365172262459
SV1_C88448,C88448,0.8957729384475498
SV1_C71312,C71312,0.9433668197780888
SV1_C70168,C70168,0.8702766665456597
SV1_C46584,C46584,0.854615753538305
SV1_C72264,C72264,0.9334597801179559
SV1_C28920,C28920,0.917425419665276
SV1_C38160,C38160,0.9157102754895551
SV1_C00884,C00884,0.9286238152964176
SV1_C64112,C64112,0.8488496940373874
SV1_C62148,C62148,0.8529299564060664
SV1_C49100,C49100,0.9851744212351867
SV1_C49644,C49644,0.8404556400720219
SV1_C24444,C24444,0.8884217728611989
SV1_C67656,C67656,0.8959177044847715
SV1_C49880,C49880,0.8345210114072757
SV1_C22396,C22396,0.961295416317181
SV1_C10844,C10844,0.8127316220736052
SV1_C76456,C76456,0.8378482617218018
SV1_C03256,C03256,0.8862294862962055
SV1_C95720,C95720,0.8043207470958638
SV1_C63104,C63104,0.871221796548292
SV1_C28064,C28064,0.9422394027423427
SV1_C75976,C75976,0.9110936132960481
SV1_C49296,C49296,0.8230385115916652
SV1_C87032,C87032,0.8109951825659699
SV1_C86724,C86724,0.971305362735228
SV1_C92184,C92184,0.910296388080907
SV1_C84132,C84132,0.9289179259586793
SV1_C25644,C25644,0.8535609148679397
SV1_C67308,C67308,0.8839182482971266
SV1_C56728,C56728,0.9348737584302466
SV1_C09412,C09412,0.9316136601269763
SV1_C81132,C81132,0.934884943268523
SV1_C95032,C95032,0.9228732516515055
SV1_C47332,C47332,0.9213456257159854
SV1_C91320,C91320,0.8343613131489864
SV1_C76916,C76916,0.9342579134813612
SV1_C14184,C14184,0.9142030468141314
SV1_C03192,C03192,0.8631502687211697
SV1_C71356,C71356,0.8353839938243277
SV1_C09824,C09824,0.8825386283165717
SV1_C69156,C69156,0.837722519080446
SV1_C43916,C43916,0.8038017736239286
SV1_C44200,C44200,0.8762614112844846
SV1_C98192,C98192,0.9328992703462359
SV1_C56016,C56016,0.9409695159210708
SV1_C53900,C53900,0.8702869077044982
SV1_C77212,C77212,0.9615044124765585
SV1_C05756,C05756,0.8239636406171463
SV1_C94900,C94900,0.995141153412401
SV1_C54164,C54164,0.8622883307740264
SV1_C42136,C42136,0.9598992647755739
SV1_C66376,C66376,0.9313154482915601
SV1_C27824,C27824,0.8577805481298951
SV1_C54388,C54388,0.8026990217168221
SV1_C94324,C94324,0.9430232102758996
SV1_C55068,C55068,0.8368712211413503
