scenario_settings,tree,reason,resimulation_recommended
U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U4_CongestionHotspot_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP02_LowLoad.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP04_FewLarge.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U5_WorkdayShort_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP01_Baseline.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP02_LowLoad.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP03_ManySmall.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP04_FewLarge.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP05_CriticalTTL.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP06_OneToMany.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP01_Baseline.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP02_LowLoad.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP03_ManySmall.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP04_FewLarge.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP05_CriticalTTL.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP06_OneToMany.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
U7_HighTimeVariance_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,poi_or_bus_wkt_or_u2_rename,yes
