settings_path,tree,scenario_name,map_file1,world_size,movement_model,route_file_entries,group_route_file,group2_route_file,poi_files_ok,issues,status
scenarios/corpus_v1/01_urban/U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U3_MicroMobility_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,U3_MicroMobility_HelsinkiDowntown__TP10_Storm,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP01_Baseline.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP01_Baseline,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP02_LowLoad.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP02_LowLoad,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP03_ManySmall.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP03_ManySmall,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP04_FewLarge.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP04_FewLarge,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP05_CriticalTTL.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP05_CriticalTTL,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP06_OneToMany.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP06_OneToMany,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP09_Bimodal,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP02_LowLoad.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP02_LowLoad,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP04_FewLarge.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP04_FewLarge,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP09_Bimodal,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP10_Storm.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP10_Storm,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP11_ManyToOne.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP11_ManyToOne,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U5_WorkdayShort_HelsinkiDowntown__TP12_GroupToGroup.settings,corpus_v1,U5_WorkdayShort_HelsinkiDowntown__TP12_GroupToGroup,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP01_Baseline.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP01_Baseline,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP02_LowLoad.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP02_LowLoad,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP03_ManySmall.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP03_ManySmall,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP04_FewLarge.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP04_FewLarge,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP05_CriticalTTL.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP05_CriticalTTL,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP06_OneToMany.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP06_OneToMany,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP07_BurstWindow.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP07_BurstWindow,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP08_HubTarget.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP08_HubTarget,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
scenarios/corpus_v1/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP09_Bimodal.settings,corpus_v1,U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP09_Bimodal,data/HelsinkiDowntown/roads.wkt,"2093, 1838",WorkingDayMovement,3,data/HelsinkiDowntown/A_bus.wkt,data/HelsinkiDowntown/A_bus.wkt,True,,PASS
