scenario,world_area,aspect_ratio,N,nrofHostGroups,speed_mean,wait_mean,mm_WDM,mm_RWP,mm_MapRoute,mm_Cluster,mm_Bus,mm_Linear,transmitRange,bufferSize,transmitSpeed,msgTtl,event_interval_mean,event_size_mean,nrof_event_generators,pattern_burst,pattern_hub_target,workDayLength,ownCarProb
U3_MicroMobility_HelsinkiDowntown__TP01_Baseline,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.09835880134352405,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP02_LowLoad,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,2.5248280446154134,2.883465913070679,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP03_ManySmall,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.6781580513685079,-0.541150182348001,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP04_FewLarge,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,1.2070056580892397,1.144068162995727,3.2361514410149566,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP05_CriticalTTL,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-1.4277239605280203,-0.09835880134352405,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP06_OneToMany,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.4710868906452994,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP07_BurstWindow,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.7609865156577913,-0.2543241450576841,-0.30123203803835435,3.3135524184219007,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.4710868906452994,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.09835880134352405,-0.46678787638384484,3.313552418421901,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP10_Storm,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-1.4176572617420564,-0.7816936317301122,0.35271508730277523,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.4710868906452994,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.37181029310233943,-0.35191276275888683
U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup,-0.4866627924561444,-2.0735714017891382,3.3265141342950058,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.3389391772873013,-3.1328297535005065,-0.29689152917687855,-0.11081672843693408,-0.09835880134352405,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.37181029310233943,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP01_Baseline,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.09835880134352405,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP02_LowLoad,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,2.5248280446154134,2.883465913070679,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP03_ManySmall,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.6781580513685079,-0.541150182348001,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP04_FewLarge,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,1.2070056580892397,1.144068162995727,3.2361514410149566,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP05_CriticalTTL,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-1.4258936516578449,-0.09835880134352405,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP06_OneToMany,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.4710868906452994,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.7609865156577913,-0.2543241450576841,-0.30123203803835435,3.3135524184219007,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.4710868906452994,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP09_Bimodal,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.09835880134352405,-0.46678787638384484,3.313552418421901,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-1.4176572617420564,-0.7816936317301122,0.35271508730277523,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.4710868906452994,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.18590514655116971,-0.35191276275888683
U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.43797984597514905,-0.025483527252300346,1.4765755698885472,-0.11081672843693408,-0.09835880134352405,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,0.18590514655116971,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,-0.11081672843693408,-0.09835880134352405,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP02_LowLoad,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,2.5248280446154134,2.883465913070679,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,-0.11081672843693408,-0.6781580513685079,-0.541150182348001,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP04_FewLarge,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,1.2070056580892397,1.144068162995727,3.2361514410149566,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,-1.4277239605280203,-0.09835880134352405,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,-0.7035102302707611,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,-0.11081672843693408,-0.4710868906452994,-0.3909079723387874,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,-0.11081672843693408,-0.7609865156577913,-0.2543241450576841,-0.30123203803835435,3.3135524184219007,-0.7035102302707611,-2.602672051716376,-0.35191276275888683
U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget,-0.4866627924561444,-2.0735714017891382,0.9048548962480291,0.12876542246424116,1.2502772764296202,-0.5670234812069237,1.9981472900145754,0.0,-0.3120581790890999,-0.3918689239544947,1.8690956418863423,0.0,-0.38845951163122516,0.2704542085808621,-0.1786603892391835,-0.11081672843693408,-0.4710868906452994,-0.2543241450576841,-0.30123203803835435,-0.3012320380383546,1.4188111347918702,-2.602672051716376,-0.35191276275888683
